,X,Name,LONG,LAT,ET,PET,NPP,WB,MAT,TS,MCM,MWM,DJF.Tavg,MAM.Tavg,JJA.Tavg,SON.Tavg,Log10.TAP,PS,Log10.PWM,Log10.PDM,Log10.DJF.Prec,Log10.MAM.Prec,Log10.JJA.Prec,Log10.SON.Prec,Log10.TRI,density
135,135,Ojibwa-Nipigon,-88.31,49.34,11.48048878,468.3315735,697.5403442,1952.668457,1.015354156,1183.076782,-16.94099998,19.25499916,-14.32483292,-0.520416558,14.53499985,4.371666431,3.384174139,32.62222672,1.963787827,1.51851394,2.173186268,2.158362492,2.423245874,2.403120521,0.375663614,0.87
136,136,Mistassini_Cree,-72.66,51.75,11.1091032,396.6687927,464.1151733,2525.331299,-3.219875097,1263.324341,-21.68700027,17.44124985,-19.38916588,-5.075833321,11.91699982,-0.331500083,3.465828815,33.93973923,2.093421685,1.69019608,2.281033367,2.220108088,2.541579244,2.436162647,0.77815125,0.58
137,137,No.Ojibwa--Albanymoose,-83.1,51.22,11.5047884,475.932312,594.404541,1657.067627,-0.697416604,1401.068237,-21.76799965,20.80800056,-19.05466652,-1.959666729,15.44733334,2.777333498,3.329194415,35.30119324,1.991226076,1.544068044,2.127104798,2.086359831,2.408239965,2.307496038,0.397940009,1.43
138,138,Waswanipi-Cree,-76.64,49.78,11.52752304,466.7607727,636.4072876,2224.239258,0.024374962,1287.880981,-19.10375023,20.38724899,-16.85400009,-0.974499762,14.93741608,2.988583326,3.430075056,41.1194458,2.071882007,1.491361694,2.133538908,2.206825876,2.509202522,2.44870632,1.051152522,0.41
139,139,Ojibwa-Weagamon,-90.64,52.79,11.57389641,463.8346252,557.7459717,1543.165405,-1.359437466,1404.745361,-22.00225067,21.24175072,-19.55533409,-2.303583145,15.42283344,0.998333395,3.302763708,49.77449799,2,1.342422681,1.913813852,2.08278537,2.436162647,2.294466226,0.458637849,0.51
140,140,Montagnais,-74,50,11.50510883,452.6612549,596.7038574,2619.338867,-0.656937659,1280.079346,-19.61575127,20.42099953,-17.34891701,-1.653666854,14.32308292,2.051749945,3.48756256,27.95730019,2.086359831,1.698970004,2.344392274,2.264817823,2.531478917,2.451786436,1.190331698,0.41
141,141,Beaver,-115.76,58.51,11.52153492,511.6731873,585.0709839,673.3267822,-0.862958372,1377.721558,-21.36750031,20.80475044,-18.72141647,0.438833505,14.91016674,-0.079416595,3.074084689,49.87628174,1.826074803,1.278753601,1.785329835,1.886490725,2.240549248,1.939519253,0.640978057,0.51
142,142,Slave,-122,62,11.518713,500.0686035,467.7086182,708.9313965,-3.1431458,1533.626953,-24.37800026,21.6677494,-22.20974922,-2.353166819,14.93675041,-2.946416616,3.08278537,57.74551392,1.851258349,1.176091259,1.740362689,1.851258349,2.276461804,1.963787827,0.528273777,1
143,143,Kaska,-131,60,10.98527336,416.0950928,481.8861694,1218.904907,-2.845021009,1052.76001,-17.44350052,15.8039999,-15.8125,-3.198166609,9.870749474,-2.240166903,3.213783299,33.41172028,1.857332496,1.342422681,2.064457989,1.944482672,2.250420002,2.222716471,1.907142531,0.9
144,144,Tahltan,-127.85,57.66,10.70457458,389.0055542,505.9698792,1557.994385,-2.35443759,885.4578247,-14.14175034,13.60850048,-12.87833309,-3.475416422,8.647000313,-1.710999966,3.289588953,31.99120331,1.897627091,1.322219295,2.198657087,1.982271233,2.324282455,2.274157849,1.489606966,1.16
145,145,Mountain,-125.37,63.68,11.14214993,458.020752,368.8112183,681.979248,-5.461395741,1420.681763,-24.72324944,18.02000046,-22.7064991,-5.280416489,11.75183296,-5.610500336,3.057285644,58.60632706,1.812913357,1.079181246,1.763427994,1.698970004,2.252853031,1.986771734,1.246129126,0.78
146,146,Han_(Yukon_Athabaskan),-141.2,64.79,11.20256138,474.7589417,401.750885,374.2410583,-4.636645794,1370.481689,-23.09549904,18.4157505,-20.8635006,-4.571166515,12.31833363,-5.430250168,2.929418926,77.05950165,1.77815125,0.84509804,1.556302501,1.531478917,2.193124598,1.785329835,1.16879202,1.8
147,147,Hare,-125,67.47,10.91022968,427.8223572,277.5595703,295.1776428,-8.136541367,1500.016724,-26.57824898,16.36824989,-25.26249886,-11.21199989,10.63016701,-6.701833725,2.859738566,50.08401871,1.591064607,1.041392685,1.591064607,1.544068044,1.954242509,1.908485019,0,0.33
148,148,Koyukon,-153.78,66.52,11.31940556,502.4057007,372.8040771,652.5942993,-5.358145714,1466.999268,-23.93975067,19.51625061,-22.24575043,-5.870666504,13.01441669,-6.330583096,3.062957834,64.57097626,1.939519253,1.230448921,1.785329835,1.740362689,2.238046103,2,1.417056299,1.09
149,149,Chippewyan_(Athabaskan),-106.19,59.47,11.25537777,452.2576294,406.1228027,765.7423706,-4.531541824,1533.60791,-26.70899963,19.39049911,-23.88358307,-5.345333576,13.71450043,-2.611749887,3.086003706,57.60043335,1.838849091,1.146128036,1.698970004,1.812913357,2.260071388,2.053078443,1.592454351,0.46
150,150,Kutchin_Peel_River,-135.23,65.94,11.26872158,481.6615295,329.3365173,541.338501,-6.537833214,1558.757568,-26.1515007,19.58724976,-24.17291641,-8.352499962,13.26408291,-6.890000343,3.010299957,39.54290771,1.69019608,1.230448921,1.785329835,1.755874856,2.11058971,1.991226076,1.384711743,1.7
151,151,Satudene-Bear Lake,-122.89,65.75,11.12564087,468.2013245,330.9287415,332.7986755,-6.492291927,1518.061035,-25.98950005,18.10750008,-24.14575005,-8.233833313,12.52583313,-6.115417004,2.904174368,59.38168716,1.662757832,0.954242509,1.556302501,1.51851394,2.041392685,1.963787827,0.477121255,0.55
152,152,Rupert_House-Cree,-77.81,51.08,11.5113945,471.382782,621.1895752,1991.617188,-0.23293753,1323.504272,-19.21125031,20.1467495,-17.26591682,-1.831750035,15.39766693,2.768249989,3.391640703,40.01610947,2.021189299,1.447158031,2.093421685,2.170261715,2.456366033,2.426511261,0.812913357,0.9
153,153,Dogrib,-115.61,63.85,11.24569702,471.0998535,327.9174805,341.9001465,-6.578583241,1659.992188,-29.49175072,19.6704998,-26.94566727,-8.040166855,13.59350014,-4.921999931,2.910624405,49.8285408,1.662757832,1,1.681241237,1.556302501,2.037426498,1.913813852,0.574031268,0.88
154,154,Tutchone,-138.21,61.24,10.72345448,398.5916748,433.6078796,744.4083252,-3.891729116,950.4373779,-16.70624924,13.86699963,-14.89449978,-5.303500175,8.033666611,-3.402583122,3.058426024,54.63743591,1.832508913,1.230448921,1.77815125,1.832508913,2.247973266,1.903089987,1.092545208,0.92
155,155,Naskapi,-68.92,56.19,10.92768669,393.2737732,394.9729614,1415.726196,-4.801520824,1353.199585,-24.75449944,16.33699989,-22.16016579,-7.336250305,10.96675014,-0.676416516,3.257678575,43.46852112,1.963787827,1.431363764,1.982271233,2.041392685,2.361727836,2.23299611,0.922984816,0.42
156,156,Kobuk_Eskimo,-156.94,66.95,11.32422924,505.2886353,400.1774902,307.7113647,-4.674708366,1401.46582,-21.68200111,19.0359993,-20.65200043,-6.467666626,13.27483368,-4.854000092,2.910624405,65.47351074,1.77815125,1.041392685,1.643452676,1.591064607,2.096910013,1.826074803,1.471658359,2.67
157,157,Caribou_Eskimo,-96.2,64.33,10.6816597,370.4455261,187.33255,409.5544739,-11.71431255,1624.449951,-32.24700165,15.04950047,-30.62233353,-16.6582489,8.429166794,-8.005832672,2.892651034,70.14317322,1.672097858,0.903089987,1.397940009,1.544068044,2.045322979,1.968482949,0.994537104,0.3
158,158,Noatak-Eskimo,-160,68.09,10.92916679,442.9212341,350.6820984,223.0787659,-5.942666531,1218.80603,-19.96475029,15.72749996,-18.58233261,-10.03491688,10.4487505,-5.602166653,2.824125834,72.35611725,1.698970004,0.84509804,1.544068044,1.414973348,2.012837225,1.792391689,1.361727836,2.2
159,159,Nunamiut_Eskimo,-151.71,68.18,10.52178001,394.7575684,280.3861694,469.2424316,-8.042666435,1161.417847,-21.47924995,12.9942503,-20.08133316,-11.00883293,7.590583324,-8.67108345,2.937016107,63.98488617,1.785329835,1.113943352,1.643452676,1.602059991,2.152288344,1.819543936,2.277895594,0.96
